Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,0.08830142021179199,22.0,22.2,0.0,0.0,0.0020816146549615,0,0,0,0,0.0,0.0,True
L,0.08997344970703125,22.0,22.2,0.0,0.0,0.002069437144398355,0,0,0,0,0.0,0.0,True
L,0.0914764404296875,21.8,22.2,0.0,0.0,0.0020668261342018167,0,0,0,0,0.0,0.0,True
L,0.09146475791931152,21.9,22.2,0.0,0.0,0.0020698239982427165,0,0,0,0,0.0,0.0,True
L,0.09173035621643066,21.9,22.2,0.0,0.0,0.002068131139532354,0,0,0,0,0.0,0.0,True
L,0.09202980995178223,21.7,22.2,0.0,0.0,0.002075027545419497,0,0,0,0,0.0,0.0,True
L,0.08919572830200195,21.9,22.2,0.0,0.0,0.0020681324064357165,0,0,0,0,0.0,0.0,True
L,0.09009552001953125,22.1,22.2,0.0,0.0,0.002083699064648249,0,0,0,0,0.0,0.0,True
L,0.09212684631347656,22.0,22.2,0.0,0.0,0.0020707195233214907,0,0,0,0,0.0,0.0,True
L,0.0913083553314209,21.8,22.2,0.0,0.0,0.002071828927562042,0,0,0,0,0.0,0.0,True
L,0.08914685249328613,22.2,22.2,0.0,0.0,0.0020707173653187255,0,0,0,0,0.0,0.0,True
L,0.09015297889709473,22.2,22.2,0.0,0.0,0.002071054503023611,0,0,0,0,0.0,0.0,True
L,0.09241223335266113,21.8,22.2,0.0,0.0,0.0020679936500391854,0,0,0,0,0.0,0.0,True
L,0.09248924255371094,21.7,22.2,0.0,0.0,0.0020681659053265952,0,0,0,0,0.0,0.0,True
L,0.08903622627258301,21.7,22.2,0.0,0.0,0.0020807373358097095,0,0,0,0,0.0,0.0,True
L,0.09239649772644043,22.2,22.2,0.0,0.0,0.0020715775818055887,0,0,0,0,0.0,0.0,True
L,0.09015417098999023,21.9,22.2,0.0,0.0,0.0020874952302913715,0,0,0,0,0.0,0.0,True
L,0.08932805061340332,22.1,22.2,0.0,0.0,0.002069871919088316,0,0,0,0,0.0,0.0,True
L,0.09076523780822754,22.1,22.2,0.0,0.0,0.002071444353950371,0,0,0,0,0.0,0.0,True
L,0.09069252014160156,21.9,22.2,0.0,0.0,0.0020651672469604986,0,0,0,0,0.0,0.0,True
L,0.09075331687927246,22.2,22.2,0.0,0.0,0.0020681659053265952,0,0,0,0,0.0,0.0,True
L,0.09060335159301758,22.2,22.2,0.0,0.0,0.0020779251081722754,0,0,0,0,0.0,0.0,True
L,0.08830666542053223,22.1,22.2,0.0,0.0,0.0020720393035248337,0,0,0,0,0.0,0.0,True
L,0.08873772621154785,21.9,22.2,0.0,0.0,0.002075746315262002,0,0,0,0,0.0,0.0,True
L,0.0885164737701416,21.9,22.2,0.0,0.0,0.00207683442080979,0,0,0,0,0.0,0.0,True
L,0.08922028541564941,22.0,22.2,0.0,0.0,0.002071201303743161,0,0,0,0,0.0,0.0,True
L,0.0906684398651123,21.7,22.2,0.0,0.0,0.0020742257055036246,0,0,0,0,0.0,0.0,True
L,0.08748555183410645,22.0,22.2,0.0,0.0,0.002068283633910929,0,0,0,0,0.0,0.0,True
L,0.08631038665771484,22.1,22.2,0.0,0.0,0.0020913815514288386,0,0,0,0,0.0,0.0,True
L,0.08709025382995605,22.1,22.2,0.0,0.0,0.002081002292447238,0,0,0,0,0.0,0.0,True
L,0.08829522132873535,21.9,22.2,0.0,0.0,0.0020675377580739065,0,0,0,0,0.0,0.0,True
L,0.08848690986633301,22.2,22.2,0.0,0.0,0.0020794159705307355,0,0,0,0,0.0,0.0,True
L,0.08854174613952637,22.2,22.2,0.0,0.0,0.0020698926731064155,0,0,0,0,0.0,0.0,True
L,0.08871698379516602,21.9,22.2,0.0,0.0,0.002077540960080042,0,0,0,0,0.0,0.0,True
L,0.09265637397766113,21.8,22.2,0.0,0.0,0.002069867804983695,0,0,0,0,0.0,0.0,True
L,0.09374785423278809,22.1,22.2,0.0,0.0,0.002063663703504065,0,0,0,0,0.0,0.0,True
L,0.0888519287109375,22.2,22.2,0.0,0.0,0.0020707051339874274,0,0,0,0,0.0,0.0,True
L,0.08831191062927246,22.1,22.2,0.0,0.0,0.002061607185254447,0,0,0,0,0.0,0.0,True
L,0.08977842330932617,21.8,22.2,0.0,0.0,0.002076616878584693,0,0,0,0,0.0,0.0,True
L,0.09160614013671875,21.9,22.2,0.0,0.0,0.0020690069577424465,0,0,0,0,0.0,0.0,True
L,0.09172344207763672,21.9,22.2,0.0,0.0,0.0020887770534940764,0,0,0,0,0.0,0.0,True
L,0.09171891212463379,22.0,22.2,0.0,0.0,0.002070295736198814,0,0,0,0,0.0,0.0,True
L,0.08814764022827148,22.0,22.2,0.0,0.0,0.0020632397708273604,0,0,0,0,0.0,0.0,True
L,0.09102296829223633,22.3,22.2,0.0,0.0,0.002059548470722539,0,0,0,0,0.0,0.0,True
L,0.08221650123596191,22.2,22.2,0.0,0.0,0.0020709203158596296,0,0,0,0,0.0,0.0,True
L,0.07775473594665527,22.1,22.2,0.0,0.0,0.0020587037817985515,0,0,0,0,0.0,0.0,True
L,0.07871460914611816,21.9,22.2,0.0,0.0,0.0020770508374688,0,0,0,0,0.0,0.0,True
L,0.07908773422241211,21.8,22.2,0.0,0.0,0.0020695915282215884,0,0,0,0,0.0,0.0,True
L,0.07857418060302734,21.9,22.2,0.0,0.0,0.0020699021864192457,0,0,0,0,0.0,0.0,True
L,0.07781195640563965,21.8,22.2,0.0,0.0,0.0020611780198847027,0,0,0,0,0.0,0.0,True
L,0.07985877990722656,22.1,22.2,0.0,0.0,0.002080038318777553,0,0,0,0,0.0,0.0,True
L,0.07706522941589355,21.9,22.2,0.0,0.0,0.002082328019883807,0,0,0,0,0.0,0.0,True
L,0.07770991325378418,22.0,22.2,0.0,0.0,0.00207365238719464,0,0,0,0,0.0,0.0,True
L,0.08405494689941406,22.2,22.2,0.0,0.0,0.002065418993146459,0,0,0,0,0.0,0.0,True
L,0.08087015151977539,21.7,22.2,0.0,0.0,0.0020817325118384702,0,0,0,0,0.0,0.0,True
L,0.08058857917785645,22.2,22.2,0.0,0.0,0.0020750042406265023,0,0,0,0,0.0,0.0,True
L,0.07823586463928223,22.1,22.2,0.0,0.0,0.0020664100904182244,0,0,0,0,0.0,0.0,True
L,0.07750272750854492,22.1,22.2,0.0,0.0,0.0020577467987531735,0,0,0,0,0.0,0.0,True
L,0.07792496681213379,22.0,22.2,0.0,0.0,0.002087019018230508,0,0,0,0,0.0,0.0,True
L,0.07689023017883301,21.6,22.2,0.0,0.0,0.002078167707704241,0,0,0,0,0.0,0.0,True
